concept_en,pair_name,pair_class,src_lang,layer,donor_type,kl_to_native,english_first_step_mass
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.0029978159147469033,0.2777438163757324
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,0.00034956174808974035,0.25092968344688416
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,0.0001308703183509284,0.24879303574562073
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.2479456663131714
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.2479456663131714
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.2479456663131714
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.2479456663131714
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.0003974996507167816
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.006945260276094867,0.0003835841198451817
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,0.001371443965223587,0.00038436890463344753
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,0.0010240003339813384,0.00038143721758387983
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.00040687606087885797
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.0049686062488668685,0.00036120624281466007
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,0.001655615664171147,0.00037932017585262656
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,0.0012429304437941184,0.00037464231718331575
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.00040469138184562325
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.00040469138184562325
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.00040469138184562325
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.00040469138184562325
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.4315105378627777
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.012252196146385605,0.4780418574810028
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,0.0008709476682312554,0.42737630009651184
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,0.0008311603746361984,0.4342760145664215
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.43575453758239746
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.0016071998297956264,0.4543725848197937
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,0.0006849498422694155,0.4382573664188385
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,0.00040102566169308775,0.436750590801239
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.36589381098747253
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,roman,0.0,0.36589381098747253
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,devanagari,0.0,0.36589381098747253
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,hindi,0.0,0.36589381098747253
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,native,0.0,0.6299712061882019
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,roman,0.0005472094174066404,0.6352010369300842
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,devanagari,5.0450073852836234e-05,0.6305897831916809
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,25,hindi,4.579295983040321e-05,0.632533073425293
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,native,0.0,0.6237731575965881
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,roman,0.00038288187465630816,0.6200082898139954
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,devanagari,9.087685995695649e-05,0.6247299909591675
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,26,hindi,5.252448800471929e-05,0.6240856647491455
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,27,native,0.0,0.6469482183456421
